name;party;num_bill
Chapman,Jenny;Labour;7
Field,Mark;Conservative;4
Afriyie,Adam;Conservative;1
McInnes,Liz;Labour;32
McDonald,Andy;Labour;10
Elmore,Chris;Labour;5
McCarthy,Kerry;Labour;2
Debbonaire,Thangam;Labour;18
Reynolds,Jonathan;Labour;1
Hamilton,Fabian;Labour;14
Trickett,Jon;Labour;4
Winterton,DameRosie;Labour;7
Gwynne,Andrew;Labour;3
Blomfield,Paul;Labour;11
Rotheram,Steve;Labour;50
Hillier,Meg;Labour;2
Anderson,MrDavid;Labour;171
Tolhurst,Kelly;Conservative;2
Borwick,Victoria;Conservative;1
Rees,Christina;Labour;4
Allin-Khan,DrRosena;Labour;1
Mowat,David;Conservative;2
Davies,Byron;Conservative;2
Miller,MrsMaria;Conservative;3
Fox,DrLiam;Conservative;4
Baker,MrSteve;Conservative;1
Chope,MrChristopher;Conservative;1
Syms,MrRobert;Conservative;4
Barron,Kevin;Labour;14
Donaldson,MrJeffreyM.;DemocraticUnionistParty;67
Loughton,Tim;Conservative;1
Spelman,MrsCaroline;Conservative;6
Kendall,Liz;Labour;2
Davies,Mims;Conservative;2
Kaufman,SirGerald;Labour;22
Pritchard,Mark;Conservative;4
Pennycook,Matthew;Labour;1
Flint,Caroline;Labour;1
Caulfield,Maria;Conservative;4
Duncan,SirAlan;Conservative;4
Hunt,Tristram;Labour;4
Jackson,MrStewart;Conservative;10
Osamor,Kate;Labour;9
Smith,Nick;Labour;4
Murrison,DrAndrew;Conservative;1
Cox,Jo;Labour;14
Smith,Cat;Labour;8
Docherty,MartinJohn;ScottishNationalParty;65
Davis,MrDavid;Conservative;9
Smith,Chloe;Conservative;4
Burnham,Andy;Labour;2
Robertson,MrLaurence;Conservative;10
Thornberry,Emily;Labour;6
Winterton,MsRosie;Labour;12
Hussain,Imran;Labour;4
Bellingham,MrHenry;Conservative;7
Jenkyns,Andrea;Conservative;1
Danczuk,Simon;Labour;1
Cash,SirWilliam;Conservative;7
Whittaker,Craig;Conservative;4
Gillan,MrsCheryl;Conservative;1
Hurd,MrNick;Conservative;2
Starmer,Keir;Labour;1
Heald,SirOliver;Conservative;2
Hollobone,MrPhilip;Conservative;1
Carmichael,Neil;Conservative;4
Scully,Paul;Conservative;2
Nokes,Caroline;Conservative;1
Black,MsMhairi;ScottishNationalParty;8
Watkinson,DameAngela;Conservative;2
Johnson,Boris;Conservative;1
Knight,Julian;Conservative;1
Davies,DrJames;Conservative;1
Smith,Jeff;Labour;1
Hoyle,MrLindsay;Labour;1
MacNeil,MrAngusBrendan;ScottishNationalParty;18
Willetts,MrDavid;Conservative;1
Barker,Gregory;Conservative;1
Russell,SirBob;LiberalDemocrat;129
George,Andrew;LiberalDemocrat;116
Ward,MrDavid;LiberalDemocrat;88
Bayley,SirHugh;Labour;9
Dobson,Frank;Labour;6
Mitchell,Austin;Labour;17
Newmark,MrBrooks;Conservative;1
Hunter,Mark;LiberalDemocrat;21
Osborne,Sandra;Labour;40
Galloway,MrGeorge;Respect;93
Sheridan,Jim;Labour;65
Ruddock,DameJoan;Labour;12
Hood,MrJim;Labour;16
Clark,Katy;Labour;73
Morris,GrahameM.;Labour;78
Huppert,DrJulian;LiberalDemocrat;52
Hancock,MrMike;Independent;185
Harvey,SirNick;LiberalDemocrat;13
